date,state,ave_temp,ave_temp_uncertainty,disaster_occurrence,month,fitted_temp,error,mean,std,anomaly
1837-08-01,AL,26.704,2.373,0.0,8,26.952095570284513,-0.24809557028451223,0.051599293345246856,0.8926137066346573,0
1837-09-01,AL,22.61,2.012,0.0,9,23.226913486611362,-0.616913486611363,0.0634949270069048,0.8786654899819879,0
1837-10-01,AL,18.025,3.716,0.0,10,16.58633279800401,1.4386672019959903,0.19121938170003835,1.0959476320160682,1
1837-11-01,AL,13.89,2.524,0.0,11,11.946078018447896,1.943921981552105,0.9218918989789108,1.3563783060441374,1
1837-12-01,AL,8.82,4.464,0.0,12,8.41541638288409,0.40458361711591095,1.2623909335546688,0.7846627569649509,0
1838-01-01,AL,9.108,2.498,0.0,1,7.220733821672965,1.8872661783270352,1.4119239256650171,0.8728421065292916,1
1838-02-01,AL,3.856,1.609,0.0,2,9.259231974320244,-5.403231974320244,-1.0371273929590992,3.8531466110007857,0
1838-03-01,AL,13.349,1.533,0.0,3,9.38263242866752,3.96636757133248,0.15013392511309043,4.920423788693501,0
1838-04-01,AL,17.635,1.836,0.0,4,16.17463245230971,1.4603675476902929,0.007834381567509633,4.850746165332588,0
1838-05-01,AL,18.687,1.339,0.0,5,21.565329448014324,-2.8783294480143233,0.8494685570028165,3.4629997840428532,0
1838-06-01,AL,25.487,1.594,0.0,6,23.768075984308155,1.7189240156918437,0.10032070512260442,2.582824115744857,0
1838-07-01,AL,27.588,3.909,0.0,7,27.01544344152047,0.5725565584795298,-0.19561629128098326,2.3929588374481785,0
1838-08-01,AL,26.8,3.705,0.0,8,27.023199570998166,-0.22319957099816534,0.689427001057736,0.9763221966930768,0
1838-09-01,AL,22.476,2.374,0.0,9,23.403595068350537,-0.9275950683505378,-0.19274602695639112,0.7505393324993775,0
1838-10-01,AL,15.026,4.654,0.0,10,17.06762397936432,-2.0416239793643207,-1.064139539571008,0.9168697435846414,0
1838-11-01,AL,9.636,3.335,0.0,11,10.99706093909024,-1.3610609390902404,-1.4434266622683662,0.5615631646658166,0
1838-12-01,AL,5.742999999999999,3.024,0.0,12,6.401751221284014,-0.6587512212840148,-1.3538120465795254,0.6914648769764006,0
1839-01-01,AL,8.302,2.148,0.0,1,6.07870671785896,2.2232932821410394,0.06782704058892808,1.8994303813997009,1
1839-02-01,AL,8.512,1.893,0.0,2,8.934013504541458,-0.42201350454145725,0.38084285210518914,1.5999933990446484,0
1839-03-01,AL,12.462,1.291,0.0,3,13.224191795185364,-0.7621917951853643,0.34636266080473926,1.6343444359554737,0
1839-04-01,AL,19.046,2.046,0.0,4,17.635447732851137,1.4105522671488622,0.07544898914068021,1.1686769825607748,1
1839-05-01,AL,22.456,0.754,0.0,5,22.575238101594145,-0.11923810159414572,0.17637412345645073,1.1161290833956181,0
1839-06-01,AL,25.447,2.353,0.0,6,25.796386151364246,-0.34938615136424644,0.3139760047301567,0.9566094582839115,0
1839-07-01,AL,26.65,3.579,0.0,7,26.69762136028961,-0.04762136028961095,-0.1720818710826677,0.15767005189082703,0
1839-08-01,AL,25.666,2.475,0.0,8,25.560721742292074,0.10527825770792631,-0.09724308464864369,0.2313583105604151,0
1839-09-01,AL,22.62,2.787,0.0,9,21.622541832130942,0.997458167869059,0.35170502176245816,0.5644399149384622,1
1839-10-01,AL,18.938,1.961,0.0,10,15.916935018218556,3.021064981781443,1.374600469119476,1.4940315564321425,1
1839-11-01,AL,9.297,1.896,0.0,11,12.286005577942202,-2.9890055779422013,0.3431725239027668,3.057990240523892,0
1839-12-01,AL,5.223999999999998,2.035,0.0,12,6.4660845233949455,-1.2420845233949471,-0.40334170651856854,3.091577941417679,0
1840-01-01,AL,5.975,1.957,0.0,1,6.009477338693325,-0.0344773386933257,-1.4218558133434913,1.4854452418877475,0
1840-02-01,AL,12.047,3.859,0.0,2,7.7950847967133265,4.251915203286674,0.9917844470661338,2.887199021348709,1
1840-03-01,AL,14.951,1.519,0.0,3,14.366969178021172,0.5840308219788284,1.6004895621907256,2.3169336490068453,0
1840-04-01,AL,19.229,2.656,0.0,4,19.040284892121587,0.18871510787841217,1.6748870443813049,2.240507582512709,0
1840-05-01,AL,21.987,2.902,0.0,5,22.864522419795854,-0.8775224197958558,-0.03492549664620507,0.7560064878223512,0
